mlprof -show-line true -raw true main mlmon.out
23.58 seconds of CPU time (6.48 seconds GC)
                                            function                                               cur    raw  
Util.curry  util.sml: 88                                                                           0.2% (0.05s)
ImperativeIOExtra.openIn  $(SML_LIB)/basis/io/imperative-io.fun: 744                               0.2% (0.05s)
ExprFn.Simp.passp  expr.sml: 2036                                                                  0.2% (0.05s)
ExprFn.append_hyps_vc.fn  expr.sml: 1367                                                           0.2% (0.05s)
IdxVisitorFn.default_idx_visitor_vtable.visit_idx.fn  idx-visitor.sml: 288                         0.2% (0.05s)
ExprFn.Simp.passi.def  expr.sml: 1851                                                              0.2% (0.05s)
Util.interleave  util.sml: 6                                                                       0.2% (0.05s)
IdxVisitorFn.default_idx_visitor_vtable.visit_BinOpI.fn  idx-visitor.sml: 317                      0.1% (0.04s)
IdxShiftFn.on_i_idx_visitor_vtable  idx.sml: 77                                                    0.1% (0.04s)
BinaryMapFn.T'  $(SML_LIB)/smlnj-lib/Util/binary-map-fn.sml: 102                                   0.1% (0.04s)
TypeVisitorFn.default_type_visitor_vtable.visit_TyNat  type-visitor.sml: 244                       0.1% (0.04s)
Sequence.make2  $(SML_LIB)/basis/arrays-and-vectors/sequence.fun: 673                              0.1% (0.04s)
ExprFn.get_region_i  expr.sml: 1198                                                                0.1% (0.04s)
TypecheckUtil.filter_module.fn  typecheck-util.sml: 293                                            0.1% (0.04s)
PostTypeCheck.remove_m_i  post-typecheck.sml: 209                                                  0.1% (0.04s)
TypeVisitorFn.default_type_visitor_vtable.visit_tbind  type-visitor.sml: 280                       0.1% (0.04s)
Normalize.whnf_i  normalize.sml: 213                                                               0.1% (0.04s)
ExprFn.Simp.simp_mt  expr.sml: 2346                                                                0.1% (0.04s)
BinaryMapFn.mapi.map'  $(SML_LIB)/smlnj-lib/Util/binary-map-fn.sml: 279                            0.1% (0.04s)
Util.write_file  util.sml: 242                                                                     0.1% (0.04s)
TypeShiftFn.on_i_type_visitor_vtable  type.sml: 111                                                0.1% (0.04s)
TypecheckUtil.package_i_ke  typecheck-util.sml: 225                                                0.1% (0.04s)
TypecheckUtil.fetch_kindext  typecheck-util.sml: 364                                               0.1% (0.03s)
PosixIO.isReg  $(SML_LIB)/basis/posix/io.sml: 185                                                  0.1% (0.03s)
TypeVisitorFn.default_type_visitor_vtable.visit_TDatatype  type-visitor.sml: 400                   0.1% (0.03s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtAbsI  type-visitor.sml: 331                      0.1% (0.03s)
TypeVisitorFn.default_type_visitor_vtable.visit_MtAppI.fn  type-visitor.sml: 345                   0.1% (0.03s)
ParaSubst.psubst_long_id  parallel-subst.sml: 14                                                   0.1% (0.03s)
List.@  $(SML_LIB)/basis/list/list.sml: 55                                                         0.1% (0.03s)
Primitive.Exn.wrapOverflow.fn  $(SML_LIB)/basis/primitive/prim1.sml: 55                            0.1% (0.03s)
IdxVisitorFn.default_idx_visitor_vtable.visit_ibind  idx-visitor.sml: 332                          0.1% (0.03s)
SExpLexFun.makeLexer.lex.continue.scan.action  sexp/sexp.lex.sml: 226                              0.1% (0.03s)
Unify.unify_mt.unify_MtApp  unify.sml: 303                                                         0.1% (0.03s)
ExprFn.collect_BinOpI  expr.sml: 256                                                               0.1% (0.03s)
ExprFn.Simp.passp.is_var_equals  expr.sml: 2143                                                    0.1% (0.03s)
ExprFn.Subst.try_forget  expr.sml: 1438                                                            0.1% (0.03s)
ShiftUtil.on_binds  shift-util.sml: 27                                                             0.1% (0.02s)
ExprFn.eq_long_id  expr.sml: 431                                                                   0.1% (0.02s)
ExprFn.eq_id  expr.sml: 426                                                                        0.1% (0.02s)
DoTypeCheck.get_mtype.main  do-typecheck.sml: 1192                                                 0.1% (0.02s)
BinaryMapFn.single_L  $(SML_LIB)/smlnj-lib/Util/binary-map-fn.sml: 89                              0.1% (0.02s)
TypecheckUtil.KeKind  typecheck-util.sml: 130                                                      0.1% (0.02s)
DoTypeCheck.match_ptrn  do-typecheck.sml: 784                                                      0.1% (0.02s)
ExprFn.Simp.passp.def  expr.sml: 2044                                                              0.1% (0.02s)
ExprFn.Simp.passp.is_var_equals.find_var  expr.sml: 2145                                           0.1% (0.02s)
TypecheckUtil.add_kindingext  typecheck-util.sml: 133                                              0.1% (0.02s)
ExprFn.Subst.hyps2ctx  expr.sml: 1769                                                              0.1% (0.02s)
SMTSolver.smt_solver  smt-solver.sml: 51                                                           0.1% (0.02s)
Unify.unify_mt  unify.sml: 296                                                                     0.1% (0.02s)
ExprFn.Simp.passp.foldr_hyps.iter  expr.sml: 2156                                                  0.1% (0.02s)
ExprFn.eq_p  expr.sml: 466                                                                         0.1% (0.02s)
ExprFn.collect_BinConn  expr.sml: 264                                                              0.1% (0.02s)
TypeVisitorFn.default_type_visitor_vtable.visit_Arrow  type-visitor.sml: 234                       0.1% (0.02s)
ExprFn.Subst.subst_t_type_visitor_vtable.extend_t  expr.sml: 1715                                  0.1% (0.02s)
TypeShiftFn.on_t_type_visitor_vtable  type.sml: 193                                                0.1% (0.02s)
Stream.get  $(SML_LIB)/mlyacc-lib/stream.sml: 12                                                   0.1% (0.02s)
SMT2Printer.escape  smt2-printer.sml: 14                                                           0.1% (0.02s)
Normalize.update_mt  normalize.sml: 139                                                            0.1% (0.02s)
TiMLLrValsFun.ParserData.Actions.actions  parser/timl.grm.sml: 1956                                0.1% (0.02s)
TiMLLexFun.makeLexer.lex.continue.scan  parser/timl.lex.sml: 469                                   0.1% (0.02s)
IdxVisitorFn.default_idx_visitor_vtable.visit_Quan  idx-visitor.sml: 394                           0.1% (0.02s)
TypeVisitorFn.default_type_visitor_vtable.visit_UniI  type-visitor.sml: 297                        0.1% (0.02s)
RedundantExhaust.cover_neg  redundant-exhaust.sml: 60                                              0.0% (0.01s)
TypecheckUtil.add_sortings_skct  typecheck-util.sml: 100                                           0.0% (0.01s)
TypecheckUtil.is_datatype  typecheck-util.sml: 376                                                 0.0% (0.01s)
DoTypeCheck.is_wf_bsort  do-typecheck.sml: 66                                                      0.0% (0.01s)
ExprFn.Subst.subst_ts_mt.fn  expr.sml: 1758                                                        0.0% (0.01s)
DoTypeCheck.expand_rules.expand_rule.convert_pn  do-typecheck.sml: 998                             0.0% (0.01s)
ShiftUtil.forget_int  shift-util.sml: 68                                                           0.0% (0.01s)
TypecheckUtil.shiftx_i_cs  typecheck-util.sml: 76                                                  0.0% (0.01s)
TypecheckUtil.package_t_ke  typecheck-util.sml: 227                                                0.0% (0.01s)
TypeShiftFn.shiftx_t_mt  type.sml: 245                                                             0.0% (0.01s)
TypecheckUtil.lookup_module  typecheck-util.sml: 303                                               0.0% (0.01s)
ExprFn.get_region_long_id  expr.sml: 1191                                                          0.0% (0.01s)
ShiftUtil.shiftx_int  shift-util.sml: 62                                                           0.0% (0.01s)
TiMLLrValsFun.ParserData.Actions.actions.fn  parser/timl.grm.sml: 2307                             0.0% (0.01s)
TiMLLrValsFun.ParserData.Actions.actions.fn  parser/timl.grm.sml: 2332                             0.0% (0.01s)
TiMLLrValsFun.ParserData.Actions.actions.fn  parser/timl.grm.sml: 2834                             0.0% (0.01s)
Util.mem.fn  util.sml: 200                                                                         0.0% (0.01s)
Util.mem  util.sml: 200                                                                            0.0% (0.01s)
IdxUtilFn.%+  idx.sml: 210                                                                         0.0% (0.01s)
IdxVisitorFn.default_idx_visitor_vtable.visit_BSArrow  idx-visitor.sml: 267                        0.0% (0.01s)
Normalize.update_ctx  normalize.sml: 193                                                           0.0% (0.01s)
SMT2Printer.print_i  smt2-printer.sml: 31                                                          0.0% (0.01s)
SMT2Printer.escape.fn  smt2-printer.sml: 14                                                        0.0% (0.01s)
SExpLexFun.makeLexer.lex.continue.scan  sexp/sexp.lex.sml: 225                                     0.0% (0.01s)
IdxVisitorFn.default_idx_visitor_vtable.visit_Not  idx-visitor.sml: 377                            0.0% (0.01s)
ExprFn.VC.vc2prop  expr.sml: 2468                                                                  0.0% (0.01s)
ExprFn.Simp.passp.def  expr.sml: 2090                                                              0.0% (0.01s)
ExprFn.Simp.passp.combine_Imply_Forall.iter  expr.sml: 2130                                        0.0% (0.01s)
ExprFn.Simp.passp.def  expr.sml: 2076                                                              0.0% (0.01s)
ExprFn.get_region_s  expr.sml: 1234                                                                0.0% (0.01s)
FreshUVar.get_base  fresh-uvar.sml: 22                                                             0.0% (0.01s)
SMT2Printer.print_hyp  smt2-printer.sml: 157                                                       0.0% (0.01s)
